DATA,STDEV.S (±5p),Max,STDEV.S (±20p),Mean Max value over 100 points
-0.05,0.019632996,-0.04,,-0.07010
-0.09,0.019021519,-0.04,,-0.07081
-0.06,0.019021519,-0.04,,-0.07061
-0.05,0.019021519,-0.04,,-0.07152
-0.04,0.020575066,-0.04,,-0.07202
-0.05,0.019632996,-0.05,,-0.07222
-0.07,0.019021519,-0.06,,-0.07313
-0.09,0.019021519,-0.06,,-0.07374
-0.1,0.019021519,-0.04,,-0.07364
-0.07,0.018340219,-0.04,,-0.07354
-0.06,0.015782614,-0.04,,-0.07323
-0.06,0.015075567,-0.04,,-0.07333
-0.09,0.018340219,-0.04,,-0.07323
-0.06,0.017320508,-0.04,,-0.07404
-0.06,0.014709304,-0.04,,-0.07374
-0.07,0.017580981,-0.04,,-0.07485
-0.09,0.017215215,-0.04,,-0.07455
-0.04,0.017215215,-0.04,,-0.07465
-0.07,0.016403991,-0.06,,-0.07475
-0.08,0.016124515,-0.06,,-0.07545
-0.1,0.015782614,-0.06,,-0.07515
-0.07,0.016124515,-0.06,0.022343339,-0.07535
-0.06,0.014893562,-0.06,0.022422501,-0.07606
-0.06,0.01183216,-0.03,0.022206621,-0.07707
-0.07,0.014893562,-0.01,0.022174182,-0.07788
-0.07,0.014709304,-0.01,0.021993657,-0.07838
-0.06,0.013003496,-0.01,0.021993657,-0.07798
-0.06,0.017939292,-0.01,0.02224648,-0.07848
-0.07,0.024936282,-0.01,0.022420031,-0.07929
-0.1,0.025009089,-0.01,0.022236522,-0.07970
-0.07,0.025009089,-0.01,0.021809098,-0.07838
-0.09,0.02960344,-0.01,0.022096637,-0.07909
-0.03,0.035006493,-0.01,0.022343339,-0.07960
-0.01,0.035006493,-0.01,0.022387902,-0.08091
-0.07,0.034954516,-0.01,0.023287409,-0.08081
-0.07,0.032863353,-0.01,0.023403628,-0.08172
-0.01,0.034954516,-0.01,0.023516917,-0.08222
-0.12,0.034298158,-0.06,0.023516917,-0.08273
-0.06,0.033493554,-0.04,0.023232657,-0.08192
-0.06,0.027863303,-0.04,0.022911066,-0.08152
-0.07,0.027863303,-0.04,0.022911066,-0.08061
-0.1,0.027863303,-0.04,0.02281419,-0.08071
-0.08,0.022074255,-0.04,0.02229372,-0.07010
-0.09,0.018488326,-0.04,0.022911066,-0.07081
-0.06,0.019116865,-0.04,0.022901397,-0.07061
-0.07,0.019400094,-0.04,0.02322789,-0.07152
-0.07,0.020135902,-0.02,0.023232657,-0.07202
-0.04,0.018635255,-0.02,0.023232657,-0.07222
-0.04,0.019632996,-0.02,0.023232657,-0.07313
-0.05,0.018635255,-0.02,0.023337288,-0.07374
-0.08,0.023159526,-0.02,0.023436727,-0.07364
-0.05,0.0232379,-0.02,0.02281419,-0.07354
-0.09,0.023159526,-0.02,0.022923147,-0.07323
-0.09,0.022563043,-0.02,0.022587347,-0.07333
-0.08,0.021489955,-0.02,0.022291237,-0.07323
-0.02,0.021105794,-0.02,0.020853866,-0.07404
-0.05,0.020538213,-0.05,0.021442963,-0.07374
-0.05,0.020180999,-0.04,0.021442963,-0.07485
-0.07,0.019116865,-0.04,0.019512327,-0.07455
-0.06,0.020670576,-0.04,0.017852602,-0.07465
-0.06,0.020135902,-0.04,0.017889782,-0.07475
-0.07,0.016348478,-0.04,0.018071471,-0.07545
-0.07,0.015666989,-0.04,0.018290749,-0.07515
-0.08,0.014709304,-0.04,0.017706228,-0.07535
-0.1,0.014893562,-0.04,0.017637296,-0.07606
-0.07,0.015666989,-0.04,0.017282103,-0.07707
-0.04,0.01601136,-0.04,0.017973156,-0.07788
-0.06,0.016180797,-0.05,0.018068407,-0.07838
-0.07,0.016624188,-0.05,0.01837833,-0.07798
-0.06,0.016292776,-0.05,0.017914526,-0.07848
-0.05,0.014396969,-0.05,0.017586993,-0.07929
-0.08,0.016180797,-0.06,0.017852602,-0.07970
-0.06,0.016180797,-0.06,0.018330061,-0.07838
-0.08,0.015666989,-0.05,0.018196662,-0.07909
-0.06,0.015724908,-0.05,0.018196662,-0.07960
-0.09,0.015075567,-0.05,0.018007012,-0.08091
-0.09,0.012504545,-0.05,0.018863031,-0.08081
-0.1,0.015075567,-0.05,0.016945617,-0.08172
-0.07,0.016348478,-0.05,0.017880494,-0.08222
-0.08,0.016348478,-0.05,0.017441565,-0.08273
-0.07,0.016348478,-0.05,0.020693941,-0.08192
-0.08,0.015550504,-0.05,0.020747386,-0.08152
-0.05,0.0168954,-0.05,0.020747386,-0.08061
-0.05,0.014709304,-0.05,0.022658327,-0.08071
-0.08,0.015666989,-0.06,0.023788474,-0.08101
-0.06,0.015666989,-0.06,0.023788474,-0.08051
-0.07,0.016348478,-0.07,0.023660107,-0.08010
-0.1,0.017939292,-0.07,0.024454174,-0.08061
-0.08,0.016624188,-0.07,0.023660107,-0.08162
-0.09,0.012933396,-0.07,0.023930038,-0.08222
-0.08,0.012862914,-0.07,0.027362867,-0.08232
-0.09,0.011037127,-0.07,0.028358565,-0.08202
-0.1,0.011361818,-0.07,0.03078522,-0.08273
-0.1,0.012504545,-0.07,0.031573711,-0.08313
-0.09,0.015374122,-0.06,0.031397851,-0.08323
-0.09,0.016733201,-0.06,0.031870446,-0.08192
-0.07,0.024196168,-0.06,0.032666644,-0.08182
-0.11,0.024120908,-0.06,0.033157899,-0.08323
-0.07,0.026560394,-0.06,0.033546384,-0.08242
-0.12,0.030030288,-0.04,0.034451886,-0.08212
-0.07,0.031449816,-0.04,0.036021711,-0.08162
-0.15,0.031937439,-0.04,0.036770215,-0.08485
-0.1,0.030600059,-0.04,0.036860456,-0.08465
-0.06,0.035598774,-0.03,0.038043223,-0.08576
-0.14,0.035598774,-0.03,0.037577532,-0.08566
-0.13,0.037001228,-0.03,0.037630541,-0.08545
-0.08,0.043547258,-0.03,0.037621711,-0.08545
-0.09,0.044292417,-0.03,0.041919609,-0.08495
-0.04,0.050847365,-0.03,0.042333643,-0.08475
-0.07,0.052501082,-0.03,0.042874304,-0.08414
-0.05,0.050163369,-0.03,0.043875137,-0.08566
-0.17,0.049285808,-0.03,0.046349579,-0.08616
-0.03,0.052397085,-0.03,0.047286268,-0.08646
-0.17,0.053495964,-0.04,0.047388033,-0.08636
-0.04,0.052535702,-0.04,0.047751201,-0.08646
-0.1,0.054087471,-0.03,0.048551556,-0.08869
-0.05,0.054822026,-0.03,0.049921311,-0.08949
-0.14,0.052013984,-0.03,0.053419089,-0.08768
-0.05,0.046003952,-0.03,0.053343368,-0.08778
-0.12,0.047634976,0.03,0.053589845,-0.08768
-0.14,0.043442752,0.03,0.054332759,-0.08616
-0.16,0.044599225,0.03,0.054510812,-0.08727
-0.14,0.040090806,0.03,0.054502685,-0.08596
-0.12,0.058043871,0.03,0.055100834,-0.08475
-0.03,0.056761062,0.03,0.055401484,-0.08535
-0.11,0.057524698,0.03,0.05556017,-0.08576
-0.14,0.058898989,0.03,0.056408768,-0.08576
-0.11,0.065003496,0.03,0.056255429,-0.08505
0.03,0.066606033,0.03,0.05644017,-0.08838
-0.14,0.066606033,0.03,0.056619419,-0.08889
-0.14,0.064102191,0.03,0.059503297,-0.08747
-0.16,0.066537754,0.03,0.059454888,-0.08758
0,0.068157571,0.03,0.062496069,-0.08778
-0.16,0.075426063,0.03,0.065364639,-0.08727
-0.12,0.067595051,0.03,0.065585362,-0.08657
-0.06,0.066783231,0.03,0.065499191,-0.08768
-0.04,0.065115282,0.03,0.080281895,-0.08838
-0.02,0.057965507,0.03,0.080620517,-0.08758
0.03,0.056035703,0.03,0.081334386,-0.08677
-0.08,0.057698275,-0.01,0.081105321,-0.08485
-0.13,0.058620505,-0.01,0.081105321,-0.08657
-0.03,0.058898989,-0.01,0.080974136,-0.08707
-0.05,0.061125802,0.04,0.080770788,-0.08505
-0.11,0.060677988,0.04,0.08011965,-0.08313
-0.17,0.050090827,0.04,0.081152414,-0.08141
-0.13,0.05088311,0.06,0.083339756,-0.08293
-0.05,0.061850259,0.06,0.083130206,-0.08354
-0.01,0.060136209,0.06,0.083038237,-0.08505
-0.12,0.072701132,0.06,0.082824582,-0.08434
-0.12,0.085769246,0.06,0.082716209,-0.08131
-0.06,0.081530808,0.06,0.086251454,-0.08091
0.04,0.08050974,0.06,0.086591031,-0.08091
-0.08,0.129635854,0.06,0.091835594,-0.08343
-0.22,0.128239832,0.06,0.091083669,-0.08545
0.06,0.130418905,0.06,0.090199115,-0.08566
-0.02,0.130335232,0,0.091606192,-0.08495
0,0.130565205,0.02,0.092709312,-0.08000
-0.39,0.123964804,0.02,0.094756201,-0.08162
-0.04,0.124666829,0.02,0.09656905,-0.08071
-0.17,0.117651257,0.02,0.096679077,-0.08313
-0.06,0.113530132,0.02,0.095217883,-0.08303
-0.05,0.117713056,0.02,0.095331211,-0.08293
-0.08,0.113177254,0.02,0.0955818,-0.08424
-0.05,0.064314568,0.02,0.106510649,-0.08495
-0.05,0.064314568,0.12,0.106492452,-0.08535
0.02,0.057508893,0.12,0.108163979,-0.08434
-0.21,0.084067073,0.12,0.107325278,-0.08253
-0.12,0.084777784,0.12,0.107153857,-0.08131
-0.09,0.108652909,0.12,0.107335596,-0.07788
-0.04,0.108023566,0.12,0.107189506,-0.07616
-0.09,0.107263482,0.12,0.108836594,-0.07717
-0.28,0.110765928,0.12,0.109506089,-0.07626
-0.16,0.107871978,0.12,0.110033218,-0.07505
0.12,0.114812099,0.12,0.108961167,-0.07677
-0.1,0.120332872,0.05,0.113325353,-0.07727
-0.08,0.122429943,0.05,0.115445595,-0.07919
0.05,0.122429943,0.05,0.113460127,-0.07667
-0.18,0.100480663,0.05,0.11582675,-0.07495
0.05,0.093740454,0.05,0.119263614,-0.07556
0.05,0.129108834,0.05,0.109912378,-0.07657
-0.14,0.129544657,0.04,0.113144426,-0.07384
